"Name","Species","GRIN","Synonym","Breeding Program","Parent1","Parent2","Pedigree","Description"
"0-27-5-0","aestivum","PI 131401","PI131401","NSG","","","","Breeding line from New South Wales Australia"
"0-7-2-0","aestivum","PI 131390","PI131390","NSG","","","","Breeding line from New South Wales Australia"
"0617-26","aestivum","PI 185108","PI185108","NSG","","","","Breeding line from Norway"
"073/44","durum","PI 266978","PI266978","NSG","","","","Cultivated line from Turkey"
"1/1/1994","aestivum","PI 374254","PI374254","NSG","","","","Cultivated line from Bamako Mali"
"100-93-54","aestivum","PI 351876","PI351876","NSG","","","","Cultivated line from Burundi"
"1002","aestivum","PI 366831","PI366831","NSG","","","","Landrace line from Ghowr Afghanistan"
"10021","aestivum","PI 196900","PI196900","NSG","","","","Landrace line from Welega Ethiopia"
"1004B","aestivum","PI 525211","PI525211","NSG","","","","Cultivated line from Guelmim Morocco"
"10056","aestivum","PI 176325","PI176325","NSG","","","","Landrace line from Uttar Pradesh India"
"1008","durum","PI 525334","PI525334","NSG","","","","Cultivated line from Morocco"
"100P","aestivum","PI 157904","PI157904","NSG","","","","Cultivated line from Tuscany Italy"
"10120","aestivum","PI 176334","PI176334","NSG","","","","Landrace line from Uttar Pradesh India"
"1013B.1.KJ","aestivum","PI 299414","PI299414","NSG","","","","Breeding line from Rift Valley Kenya"
"1014","aestivum","PI 532070","PI532070","NSG","","","","Cultivated line from Egypt"
"1017","aestivum","PI 163571","PI163571","NSG","","","","Cultivated line from Totonicapan Guatemala"
"10180-154-10","aestivum","PI 351873","PI351873","NSG","","","","Cultivated line from Burundi"
"10180-27-36","aestivum","PI 351875","PI351875","NSG","","","","Cultivated line from Burundi"
"10180-54-10","aestivum","PI 351871","PI351871","NSG","","","","Cultivated line from Burundi"
"10180-54-29","aestivum","PI 351870","PI351870","NSG","","","","Cultivated line from Burundi"
"1018B","aestivum","PI 525219","PI525219","NSG","","","","Cultivated line from Tata Morocco"
"1018D","aestivum","PI 525221","PI525221","NSG","","","","Cultivated line from Tata Morocco"
"102-71","aestivum","PI 225461","PI225461","NSG","","","","Breeding line from Colonia Uruguay"
"10282","aestivum","PI 176356","PI176356","NSG","","","","Landrace line from Uttar Pradesh India"
"1034","durum","PI 525341","PI525341","NSG","","","","Cultivated line from Tata Morocco"
"1035D","aestivum","PI 525232","PI525232","NSG","","","","Cultivated line from Morocco"
"1037-24-5","aestivum","PI 564287","PI564287","NSG","","","","Breeding line from Tolbukhin Bulgaria"
"10446","aestivum","PI 182751","PI182751","NSG","","","","Landrace line from Hakkari Turkey"
"1049","aestivum","PI 525241","PI525241","NSG","","","","Cultivated line from Ouarzazate Morocco"
"10542-63/87","aestivum","PI 564290","PI564290","NSG","","","","Breeding line from Tolbukhin Bulgaria"
"1054A","aestivum","PI 525246","PI525246","NSG","","","","Cultivated line from Ouarzazate Morocco"
"1057","aestivum","PI 366864","PI366864","NSG","","","","Landrace line from Ghowr Afghanistan"
"1066","aestivum","PI 525253","PI525253","NSG","","","","Cultivated line from Ouarzazate Morocco"
"1068A","aestivum","PI 525254","PI525254","NSG","","","","Cultivated line from Morocco"
"1075","aestivum","PI 585209","PI585209","NSG","","","","Cultivated line from Yemen"
"1076","aestivum","PI 585211","PI585211","NSG","","","","Cultivated line from Yemen"
"10760","durum","PI 180985","PI180985","NSG","","","","Landrace line from Rajasthan India"
"1083C","aestivum","PI 525346","PI525346","NSG","","","","Cultivated line from Morocco"
"1097","aestivum","PI 574356","PI574356","NSG","","","","Cultivated line from Yemen"
"1108/83","aestivum","PI 508388","PI508388","NSG","","","","Breeding line from Israel"
"111-172","aestivum","PI 225470","PI225470","NSG","","","","Breeding line from Colonia Uruguay"
"1113","aestivum","PI 585213","PI585213","NSG","","","","Cultivated line from Yemen"
"1115/83","aestivum","PI 508389","PI508389","NSG","","","","Breeding line from Israel"
"1116","aestivum","PI 559967","PI559967","NSG","","","","Landrace line from El Jadida Morocco"
"1117/83","aestivum","PI 508391","PI508391","NSG","","","","Breeding line from Israel"
"11193","aestivum","PI 183528","PI183528","NSG","","","","Landrace line from Gujarat India"
"1120","aestivum","PI 525278","PI525278","NSG","","","","Cultivated line from Morocco"
"1127","aestivum","PI 525280","PI525280","NSG","","","","Cultivated line from Essaouira Morocco"
"11275-3T-3B-1T-1B","aestivum","CItr 14396","CITR14396","NSG","","","","Breeding line from Ecuador"
"1130","aestivum","PI 525282","PI525282","NSG","","","","Cultivated line from Essaouira Morocco"
"1133","aestivum","PI 574358","PI574358","NSG","","","","Cultivated line from Yemen"
"1134","aestivum","PI 525361","PI525361","NSG","","","","Cultivated line from Essaouira Morocco"
"1137|PI525283","aestivum","PI 525283","PI525283","NSG","","","","Cultivated line from Marrakech Morocco"
"1137|PI574359","aestivum","PI 574359","PI574359","NSG","","","","Cultivated line from Yemen"
"1138","aestivum","PI 574360","PI574360","NSG","","","","Cultivated line from Yemen"
"1139","aestivum","PI 525284","PI525284","NSG","","","","Cultivated line from Marrakech Morocco"
"1147","aestivum","PI 574363","PI574363","NSG","","","","Cultivated line from Yemen"
"1149","aestivum","PI 574364","PI574364","NSG","","","","Cultivated line from Yemen"
"115-241","aestivum","PI 225474","PI225474","NSG","","","","Breeding line from Colonia Uruguay"
"1150","aestivum","PI 366905","PI366905","NSG","","","","Landrace line from Ghowr Afghanistan"
"1150/83","aestivum","PI 508392","PI508392","NSG","","","","Breeding line from Israel"
"1151","aestivum","PI 574365","PI574365","NSG","","","","Cultivated line from Yemen"
"1157","aestivum","PI 574368","PI574368","NSG","","","","Cultivated line from Yemen"
"1162","aestivum","PI 525295","PI525295","NSG","","","","Cultivated line from Errachidia Morocco"
"1164","aestivum","PI 574371","PI574371","NSG","","","","Cultivated line from Yemen"
"1169","aestivum","PI 574372","PI574372","NSG","","","","Cultivated line from Yemen"
"1171","aestivum","PI 574374","PI574374","NSG","","","","Cultivated line from Yemen"
"118-272","aestivum","PI 225477","PI225477","NSG","","","","Breeding line from Colonia Uruguay"
"1182|PI525371","durum","PI 525371","PI525371","NSG","","","","Cultivated line from Figuig Morocco"
"1182|PI574378","aestivum","PI 574378","PI574378","NSG","","","","Cultivated line from Yemen"
"1183","aestivum","PI 574379","PI574379","NSG","","","","Cultivated line from Yemen"
"1188","aestivum","PI 574381","PI574381","NSG","","","","Cultivated line from Yemen"
"1196","aestivum","PI 366923","PI366923","NSG","","","","Landrace line from Bamian Afghanistan"
"1198-A.2.A.1","durum","PI 519642","PI519642","NSG","","","","Breeding line from Rift Valley Kenya"
"1198A","aestivum","PI 525440","PI525440","NSG","","","","Cultivated line from Morocco"
"12:61-7T-16T-1B-10T-2B-2T","durum","PI 324927","PI324927","NSG","","","","Breeding line from Entre Rios Argentina"
"12:61-8T-5T-2AT-2B-1T-1B","durum","PI 324928","PI324928","NSG","","","","Breeding line from Entre Rios Argentina"
"1229","aestivum","PI 525310","PI525310","NSG","","","","Cultivated line from Morocco"
"123-364","aestivum","PI 225482","PI225482","NSG","","","","Breeding line from Colonia Uruguay"
"1245","aestivum","PI 532077","PI532077","NSG","","","","Cultivated line from Egypt"
"1254","aestivum","PI 525318","PI525318","NSG","","","","Cultivated line from Errachidia Morocco"
"12584-8B-2T-3B1T","aestivum","PI 519484","PI519484","NSG","","","","Breeding line from Valle Colombia"
"126-397","aestivum","PI 225485","PI225485","NSG","","","","Breeding line from Colonia Uruguay"
"1268","durum","PI 525395","PI525395","NSG","","","","Cultivated line from Morocco"
"1271B","aestivum","PI 349521","PI349521","NSG","","","","Landrace line from Valais Switzerland"
"1278","aestivum","PI 525320","PI525320","NSG","","","","Cultivated line from Morocco"
"12794","aestivum","PI 211102","PI211102","NSG","","","","Landrace line from Badakhshan Afghanistan"
"12889-1L-1AP-5AP-OAP","durum","PI 519556","PI519556","NSG","","","","Breeding line from Federal District Mexico"
"1294B","aestivum","PI 349531","PI349531","NSG","","","","Landrace line from Valais Switzerland"
"1296-11","aestivum","PI 401536","PI401536","NSG","","","","Breeding line from Israel"
"130-1-77","aestivum","PI 351877","PI351877","NSG","","","","Cultivated line from Burundi"
"13120","aestivum","PI 378909","PI378909","NSG","","","","Cultivated line from Colombia"
"13122","aestivum","PI 212632","PI212632","NSG","","","","Landrace line from Nangarhar Afghanistan"
"131A","aestivum","PI 94450","PI94450","NSG","","","","Landrace line from Former Soviet Union"
"13340","aestivum","PI 378910","PI378910","NSG","","","","Cultivated line from Colombia"
"1335/83","aestivum","PI 508396","PI508396","NSG","","","","Breeding line from Israel"
"13417","aestivum","PI 378911","PI378911","NSG","","","","Cultivated line from Colombia"
"13440","aestivum","PI 378912","PI378912","NSG","","","","Cultivated line from Colombia"
"1345","durum","PI 525428","PI525428","NSG","","","","Cultivated line from Taza Morocco"
"135-833","aestivum","PI 225494","PI225494","NSG","","","","Breeding line from Colonia Uruguay"
"1359","aestivum","PI 525326","PI525326","NSG","","","","Cultivated line from Taounate Morocco"
"135D","aestivum","PI 349476","PI349476","NSG","","","","Landrace line from Graubunden Switzerland"
"1360","aestivum","PI 532082","PI532082","NSG","","","","Cultivated line from Daqahliya Egypt"
"1372","aestivum","PI 525434","PI525434","NSG","","","","Cultivated line from Chefchaouene Morocco"
"138-843","aestivum","PI 225497","PI225497","NSG","","","","Breeding line from Colonia Uruguay"
"1385","durum","PI 525438","PI525438","NSG","","","","Cultivated line from Tetouan Morocco"
"1385-3331","aestivum","PI 260797","PI260797","NSG","","","","Breeding line from Cairo Egypt"
"13895-5T-1B-1T","aestivum","PI 519488","PI519488","NSG","","","","Breeding line from Valle Colombia"
"13B-55","aestivum","PI 232792","PI232792","NSG","","","","Breeding line from Lima Peru"
"13BSW","aestivum","PI 94343","PI94343","NSG","","","","Landrace line from Armenia"
"1406-3363","aestivum","PI 260803","PI260803","NSG","","","","Breeding line from Cairo Egypt"
"1406-3683","aestivum","PI 260805","PI260805","NSG","","","","Breeding line from Cairo Egypt"
"1407","aestivum","PI 366981","PI366981","NSG","","","","Landrace line from Afghanistan"
"141-907","aestivum","PI 225499","PI225499","NSG","","","","Breeding line from Colonia Uruguay"
"14144","aestivum","PI 219750","PI219750","NSG","","","","Landrace line from North-West Frontier Pakistan"
"142-929","aestivum","PI 225500","PI225500","NSG","","","","Breeding line from Colonia Uruguay"
"143/71","aestivum","PI 374605","PI374605","NSG","","","","Landrace line from Macedonia"
"145-7","aestivum","PI 351874","PI351874","NSG","","","","Cultivated line from Burundi"
"148/57","aestivum","PI 259884","PI259884","NSG","","","","Breeding line from Croatia"
"149-93","aestivum","PI 225507","PI225507","NSG","","","","Breeding line from Colonia Uruguay"
"150-95","aestivum","PI 225508","PI225508","NSG","","","","Breeding line from Colonia Uruguay"
"15007","aestivum","PI 585019","PI585019","NSG","","","","Cultivated line from Saudi Arabia"
"15023","aestivum","PI 574344","PI574344","NSG","","","","Cultivated line from Saudi Arabia"
"15034","aestivum","PI 574345","PI574345","NSG","","","","Cultivated line from Saudi Arabia"
"15037","aestivum","PI 574346","PI574346","NSG","","","","Cultivated line from Saudi Arabia"
"15039","aestivum","PI 574347","PI574347","NSG","","","","Cultivated line from Saudi Arabia"
"15040","aestivum","PI 574348","PI574348","NSG","","","","Cultivated line from Saudi Arabia"
"15045","durum","PI 585023","PI585023","NSG","","","","Cultivated line from Saudi Arabia"
"15049","aestivum","PI 606308","PI606308","NSG","","","","Saudi Arabia line from BREEDING"
"15063","aestivum","PI 585024","PI585024","NSG","","","","Cultivated line from Saudi Arabia"
"15067","aestivum","PI 574350","PI574350","NSG","","","","Cultivated line from Saudi Arabia"
"15085","aestivum","PI 585026","PI585026","NSG","","","","Cultivated line from Saudi Arabia"
"1513","aestivum","PI 167441","PI167441","NSG","","","","Landrace line from Antalya Turkey"
"1526","aestivum","PI 378255","PI378255","NSG","","","","Landrace line from Serbia"
"153-112","aestivum","PI 225511","PI225511","NSG","","","","Breeding line from Colonia Uruguay"
"153-M-M-3","aestivum","PI 170907","PI170907","NSG","","","","Breeding line from Transvaal South Africa"
"154-121","aestivum","PI 225512","PI225512","NSG","","","","Breeding line from Colonia Uruguay"
"1548","aestivum","PI 378276","PI378276","NSG","","","","Landrace line from Serbia"
"1549","durum","PI 43340","PI43340","NSG","","","","Landrace line from Uruguay"
"155/71","aestivum","PI 374617","PI374617","NSG","","","","Landrace line from Macedonia"
"1564","aestivum","PI 367024","PI367024","NSG","","","","Landrace line from Balkh Afghanistan"
"1566","aestivum","PI 367025","PI367025","NSG","","","","Landrace line from Balkh Afghanistan"
"158-V/5-A","aestivum","PI 345159","PI345159","NSG","","","","Landrace line from Serbia"
"158E","aestivum","PI 207115","PI207115","NSG","","","","Landrace line from Iran"
"1596","aestivum","PI 378323","PI378323","NSG","","","","Landrace line from Montenegro"
"16-52-3","aestivum","PI 382162","PI382162","NSG","","","","Breeding line from Rio Grande do Sul Brazil"
"161-390","aestivum","PI 225519","PI225519","NSG","","","","Breeding line from Colonia Uruguay"
"1620","aestivum","PI 222650","PI222650","NSG","","","","Landrace line from East Azerbaijan Iran"
"1627","aestivum","PI 378353","PI378353","NSG","","","","Landrace line from Macedonia"
"163-2-1-1","aestivum","PI 170910","PI170910","NSG","","","","Breeding line from Transvaal South Africa"
"1630","aestivum","PI 378355","PI378355","NSG","","","","Landrace line from Macedonia"
"164-446","aestivum","PI 225522","PI225522","NSG","","","","Breeding line from Colonia Uruguay"
"1650","aestivum","PI 73362","PI73362","NSG","","","","Landrace line from Azerbaijan"
"1656","aestivum","PI 378381","PI378381","NSG","","","","Landrace line from Macedonia"
"166-2-M-M","aestivum","PI 170911","PI170911","NSG","","","","Breeding line from Transvaal South Africa"
"1660","aestivum","PI 222669","PI222669","NSG","","","","Landrace line from East Azerbaijan Iran"
"1662","aestivum","PI 222671","PI222671","NSG","","","","Landrace line from East Azerbaijan Iran"
"1664","aestivum","PI 222673","PI222673","NSG","","","","Landrace line from East Azerbaijan Iran"
"1666","aestivum","PI 378391","PI378391","NSG","","","","Landrace line from Macedonia"
"1668","aestivum","PI 222677","PI222677","NSG","","","","Landrace line from East Azerbaijan Iran"
"1680","aestivum","PI 378405","PI378405","NSG","","","","Landrace line from Macedonia"
"1687","aestivum","PI 378412","PI378412","NSG","","","","Landrace line from Macedonia"
"169C","aestivum","PI 207123","PI207123","NSG","","","","Landrace line from Iran"
"16B-55","aestivum","PI 232795","PI232795","NSG","","","","Breeding line from Lima Peru"
"17-99","aestivum","PI 225378","PI225378","NSG","","","","Breeding line from Colonia Uruguay"
"1705","aestivum","PI 378430","PI378430","NSG","","","","Landrace line from Macedonia"
"1727","aestivum","PI 367071","PI367071","NSG","","","","Landrace line from Ghazni Afghanistan"
"1730","aestivum","PI 378455","PI378455","NSG","","","","Landrace line from Macedonia"
"17404","durum","PI 113951","PI113951","NSG","","","","Landrace line from Jordan"
"17425|CITR14143","aestivum","CItr 14143","CITR14143","NSG","","","","Landrace line from Georgia"
"17425|PI113964","durum","PI 113964","PI113964","NSG","","","","Landrace line from Jordan"
"1744","aestivum","PI 367078","PI367078","NSG","","","","Landrace line from Ghazni Afghanistan"
"175/2","aestivum","PI 178705","PI178705","NSG","","","","Breeding line from Erzurum Turkey"
"1755","aestivum","PI 367088","PI367088","NSG","","","","Landrace line from Afghanistan"
"176/6","aestivum","PI 178011","PI178011","NSG","","","","Breeding line from Erzurum Turkey"
"1767","aestivum","PI 378492","PI378492","NSG","","","","Landrace line from Macedonia"
"1773","aestivum","PI 367106","PI367106","NSG","","","","Landrace line from Afghanistan"
"1775","aestivum","PI 378500","PI378500","NSG","","","","Landrace line from Macedonia"
"1794","aestivum","PI 378519","PI378519","NSG","","","","Landrace line from Macedonia"
"1795","aestivum","PI 271254","PI271254","NSG","","","","Landrace line from Maharashtra India"
"1796","aestivum","PI 378521","PI378521","NSG","","","","Landrace line from Macedonia"
"1802","aestivum","PI 378527","PI378527","NSG","","","","Landrace line from Serbia"
"18127","aestivum","PI 378915","PI378915","NSG","","","","Cultivated line from Luzon Philippines"
"1829","aestivum","PI 367162","PI367162","NSG","","","","Landrace line from Afghanistan"
"184P","aestivum","PI 297021","PI297021","NSG","","","","Breeding line from Rift Valley Kenya"
"184P.2.A.1.F","aestivum","PI 177167","PI177167","NSG","","","","Breeding line from Rift Valley Kenya"
"1864","aestivum","PI 273990","PI273990","NSG","","","","Landrace line from Harer Ethiopia"
"187-199-VI/8A","aestivum","PI 368010","PI368010","NSG","","","","Cultivated line from Former Yugoslavia"
"1876A","aestivum","PI 349442","PI349442","NSG","","","","Landrace line from Graubunden Switzerland"
"1876D","aestivum","PI 349444","PI349444","NSG","","","","Landrace line from Graubunden Switzerland"
"18848-2E-2E-13-2E","aestivum","PI 519631","PI519631","NSG","","","","Breeding line from Ecuador"
"18889-3M-2Y-2M-3Y","aestivum","CItr 15859","CITR15859","NSG","","","","Breeding line from Federal District Mexico"
"18889-4M-1Y-1M-3Y","aestivum","CItr 15834","CITR15834","NSG","","","","Breeding line from Federal District Mexico"
"1889","aestivum","PI 367182","PI367182","NSG","","","","Landrace line from Kabul Afghanistan"
"190/52","aestivum","PI 224285","PI224285","NSG","","","","Breeding line from Transvaal South Africa"
"1975","aestivum","PI 74752","PI74752","NSG","","","","Landrace line from Jiangsu China"
"1B-55","aestivum","PI 232785","PI232785","NSG","","","","Breeding line from Lima Peru"
"1P1","durum","PI 113397","PI113397","NSG","","","","Landrace line from Egypt"
"1P2","durum","PI 113398","PI113398","NSG","","","","Landrace line from Egypt"
"2/1/2002","aestivum","PI 374251","PI374251","NSG","","","","Cultivated line from Bamako Mali"
"2/10/2005","aestivum","PI 374252","PI374252","NSG","","","","Cultivated line from Bamako Mali"
"20/71","durum","PI 374482","PI374482","NSG","","","","Landrace line from Serbia"
"2016M65","durum","PI 316083","PI316083","NSG","","","","Breeding line from New South Wales Australia"
"2020/70","aestivum","PI 358339","PI358339","NSG","","","","Breeding line from Croatia"
"2021A","aestivum","PI 192480","PI192480","NSG","","","","Breeding line from Morocco"
"2029","aestivum","PI 191006","PI191006","NSG","","","","Breeding line from Zaragoza Spain"
"203/71","aestivum","PI 374665","PI374665","NSG","","","","Landrace line from Bosnia and Herzegovina"
"2030","aestivum","PI 191007","PI191007","NSG","","","","Breeding line from Zaragoza Spain"
"204-VI/9-A","aestivum","PI 345205","PI345205","NSG","","","","Landrace line from Serbia"
"204/71","aestivum","PI 374666","PI374666","NSG","","","","Landrace line from Bosnia and Herzegovina"
"2045A","aestivum","PI 349512","PI349512","NSG","","","","Parent of the hexaploid spring wheat NAMs. Landrace line from Graubunden Switzerland."
"208/71","aestivum","PI 374670","PI374670, P15B04PI374670","NSG","","","","Landrace line from Bosnia and Herzegovina"
"2083","aestivum","PI 191039","PI191039","NSG","","","","Breeding line from Zaragoza Spain"
"20B-55","aestivum","PI 232798","PI232798","NSG","","","","Breeding line from Lima Peru"
"210/71","aestivum","PI 374672","PI374672","NSG","","","","Landrace line from Bosnia and Herzegovina"
"2119","aestivum","PI 191066","PI191066","NSG","","","","Breeding line from Zaragoza Spain"
"2124","aestivum","PI 191071","PI191071","NSG","","","","Breeding line from Zaragoza Spain"
"2137","aestivum","PI 532107","PI532107","NSG","","","","Cultivated line from Beheira Egypt"
"216/71","aestivum","PI 374678","PI374678","NSG","","","","Landrace line from Bosnia and Herzegovina"
"218/71","aestivum","PI 374680","PI374680","NSG","","","","Landrace line from Bosnia and Herzegovina"
"222/71","aestivum","PI 374684","PI374684","NSG","","","","Landrace line from Bosnia and Herzegovina"
"2262-12","aestivum","PI 576639","PI576639","NSG","","","","Landrace line from Tozeur Tunisia"
"2288A","aestivum","PI 192648","PI192648","NSG","","","","Breeding line from Mozambique"
"23-J","aestivum","PI 282925","PI282925","NSG","","","","Breeding line from Buenos Aires Argentina"
"230/71","aestivum","PI 374692","PI374692","NSG","","","","Landrace line from Bosnia and Herzegovina"
"2338","aestivum","PI 278478","PI278478","NSG","","","","Cultivated line from Former Soviet Union"
"2355","aestivum","PI 532116","PI532116","NSG","","","","Cultivated line from Minufiya Egypt"
"237-VII/2","aestivum","PI 345238","PI345238","NSG","","","","Landrace line from Macedonia"
"2418","aestivum","PI 191226","PI191226","NSG","","","","Breeding line from Zaragoza Spain"
"243-VII/4","aestivum","PI 345244","PI345244","NSG","","","","Landrace line from Macedonia"
"2441","aestivum","PI 278490","PI278490","NSG","","","","Landrace line from Tajikistan"
"2447","aestivum","PI 278491","PI278491, CItr2447","NSG","","","","Landrace line from Uzbekistan"
"2471A","aestivum","PI 190956","PI190956","NSG","","","","Cultivated line from Portugal"
"24B-55","aestivum","PI 232803","PI232803","NSG","","","","Breeding line from Lima Peru"
"2502M65","durum","PI 316092","PI316092","NSG","","","","Breeding line from New South Wales Australia"
"2504/82-51","aestivum","PI 564325","PI564325","NSG","","","","Breeding line from Tolbukhin Bulgaria"
"2581-2-5-10","durum","PI 383416","PI383416","NSG","","","","Breeding line from Herault France"
"26.402","aestivum","CItr 15035","CITR15035","NSG","","","","Landrace line from Badakhshan Afghanistan"
"26.528","aestivum","CItr 15314","CITR15314","NSG","","","","Landrace line from Ghowr Afghanistan"
"263.27.2","aestivum","PI 351650","PI351650","NSG","","","","Breeding line from Zurich Switzerland"
"2641","aestivum","PI 74801","PI74801","NSG","","","","Landrace line from Jiangsu China"
"2643","aestivum","PI 532123","PI532123","NSG","","","","Cultivated line from Egypt"
"268-VII/16","aestivum","PI 345269","PI345269","NSG","","","","Landrace line from Macedonia"
"2710","aestivum","PI 195413","PI195413","NSG","","","","Landrace line from Quezaltenango Guatemala"
"2726","aestivum","PI 195414","PI195414","NSG","","","","Landrace line from Totonicapan Guatemala"
"2743","aestivum","PI 195415","PI195415","NSG","","","","Landrace line from Suchitepequez Guatemala"
"2763","aestivum","PI 532133","PI532133","NSG","","","","Cultivated line from Egypt"
"2774","aestivum","PI 191463","PI191463","NSG","","","","Cultivated line from Spain"
"2793|PI532140","durum","PI 532140","PI532140","NSG","","","","Cultivated line from Egypt"
"28-171","aestivum","PI 225389","PI225389","NSG","","","","Breeding line from Colonia Uruguay"
"2809-2B-4B-1B-3T","aestivum","CItr 14362","CITR14362","NSG","","","","Breeding line from Bio-Bio Chile"
"2821-3B-1B-2B-5T","aestivum","CItr 14204","CITR14204","NSG","","","","Breeding line from Colombia"
"2874","aestivum","PI 306565","PI306565","NSG","","","","Cultivated line from Romania"
"2878","aestivum","PI 306566","PI306566","NSG","","","","Cultivated line from Romania"
"2894","aestivum","PI 73324","PI73324","NSG","","","","Breeding line from Azerbaijan"
"29/60","aestivum","PI 346424","PI346424","NSG","","","","Cultivated line from Former Yugoslavia"
"2901","durum","PI 134929","PI134929","NSG","","","","Landrace line from Portugal"
"2908","aestivum","PI 73338","PI73338","NSG","","","","Landrace line from Azerbaijan"
"2912","durum","PI 74830","PI74830","NSG","","","","Landrace line from Jiangsu China"
"291J.1.I.1","aestivum","PI 177172","PI177172","NSG","","","","Breeding line from Rift Valley Kenya"
"29408-52","aestivum","CItr 11849","CITR11849","NSG","","","","Breeding line from Indiana United States"
"2970|PI195907","aestivum","PI 195907","PI195907","NSG","","","","Breeding line from Morocco"
"2970|PI410913","aestivum","PI 410913","PI410913","NSG","","","","Cultivated line from Morocco"
"3/1/1936","aestivum","PI 225364","PI225364","NSG","","","","Breeding line from Colonia Uruguay"
"3/1/2001","aestivum","PI 374253","PI374253","NSG","","","","Cultivated line from Bamako Mali"
"3-18-57","aestivum","CItr 14400","CITR14400","NSG","","","","Breeding line from Peru"
"3007","aestivum","PI 245377","PI245377","NSG","","","","Landrace line from Afghanistan"
"3017","aestivum","PI 245380","PI245380","NSG","","","","Landrace line from Afghanistan"
"3039","aestivum","PI 125364","PI125364","NSG","","","","Landrace line from Afghanistan"
"30409-44R-1M-3Y-OM","aestivum","PI 519746","PI519746","NSG","","","","Breeding line from Federal District Mexico"
"3064","aestivum","PI 245394","PI245394","NSG","","","","Landrace line from Afghanistan"
"3075","aestivum","PI 245397","PI245397","NSG","","","","Landrace line from Afghanistan"
"3085","aestivum","PI 117757","PI117757","NSG","","","","Breeding line from New South Wales Australia"
"3102-11","aestivum","CItr 15408","CITR15408","NSG","","","","Landrace line from Siliana Tunisia"
"3119","aestivum","PI 191748","PI191748","NSG","","","","Breeding line from Tunisia"
"3144-19","aestivum","CItr 15412","CITR15412","NSG","","","","Landrace line from Siliana Tunisia"
"3164","aestivum","PI 167597","PI167597","NSG","","","","Landrace line from Ankara Turkey"
"318-VII/37","durum","PI 345318","PI345318","NSG","","","","Landrace line from Macedonia"
"319-VII/38","aestivum","PI 345319","PI345319","NSG","","","","Landrace line from Macedonia"
"3194","aestivum","PI 185190","PI185190","NSG","","","","Cultivated line from Portugal"
"31B-55","aestivum","PI 232810","PI232810","NSG","","","","Breeding line from Lima Peru"
"321-VII/34","durum","PI 345312","PI345312","NSG","","","","Landrace line from Macedonia"
"3245","aestivum","PI 184611","PI184611","NSG","","","","Breeding line from Portalegre Portugal"
"32780-71","aestivum","PI 372021","PI372021","NSG","","","","Landrace line from Erzurum Turkey"
"3297","aestivum","PI 410914","PI410914","NSG","","","","Cultivated line from Morocco"
"3311","aestivum","PI 414625","PI414625","NSG","","","","Cultivated line from China"
"3344","aestivum","PI 245514","PI245514","NSG","","","","Landrace line from Afghanistan"
"3362-80","aestivum","CItr 15456","CITR15456","NSG","","","","Landrace line from Kebili Tunisia"
"34-4","aestivum","PI 384237","PI384237","NSG","","","","Landrace line from Tigre Ethiopia"
"3418","aestivum","PI 200762","PI200762","NSG","","","","Landrace line from Ocotepeque Honduras"
"3430","aestivum","PI 192027","PI192027","NSG","","","","Breeding line from Mozambique"
"3447","aestivum","PI 192040","PI192040","NSG","","","","Breeding line from Portalegre Portugal"
"3456","aestivum","PI 192048","PI192048","NSG","","","","Cultivated line from Mozambique"
"35-2","aestivum","PI 384239","PI384239","NSG","","","","Landrace line from Tigre Ethiopia"
"3511","aestivum","PI 192097","PI192097","NSG","","","","Cultivated line from Mozambique"
"354A-I/7","aestivum","PI 345355","PI345355","NSG","","","","Landrace line from Montenegro"
"355-I/8","aestivum","PI 345356","PI345356","NSG","","","","Landrace line from Montenegro"
"3561","aestivum","PI 42006","PI42006","NSG","","","","Landrace line from Uttar Pradesh India"
"3564","aestivum","PI 192146","PI192146","NSG","","","","Cultivated line from Mozambique"
"3579","aestivum","PI 192155","PI192155","NSG","","","","Cultivated line from Mozambique"
"358-P.6.A","aestivum","PI 238403","PI238403","NSG","","","","Breeding line from Rift Valley Kenya"
"358-R.3.C","aestivum","PI 238406","PI238406","NSG","","","","Breeding line from Rift Valley Kenya"
"3594","aestivum","PI 192164","PI192164","NSG","","","","Cultivated line from Mozambique"
"36-6","durum","PI 384244","PI384244","NSG","","","","Landrace line from Tigre Ethiopia"
"3602","durum","PI 190977","PI190977","NSG","","","","Cultivated line from Portugal"
"3618","aestivum","PI 192181","PI192181","NSG","","","","Cultivated line from Mozambique"
"362-B.1.E.4","aestivum","PI 238411","PI238411","NSG","","","","Breeding line from Rift Valley Kenya"
"367-AR.3.B.1.C","aestivum","PI 238413","PI238413","NSG","","","","Breeding line from Rift Valley Kenya"
"3704","aestivum","PI 192247","PI192247","NSG","","","","Breeding line from Malmohus Sweden"
"3721","aestivum","PI 192262","PI192262","NSG","","","","Breeding line from Malmohus Sweden"
"3728","aestivum","PI 192269","PI192269","NSG","","","","Breeding line from Malmohus Sweden"
"3777-50","aestivum","PI 210866","PI210866","NSG","","","","Breeding line from Rio Grande do Sul Brazil"
"3779","aestivum","PI 192311","PI192311","NSG","","","","Breeding line from Malmohus Sweden"
"377B","durum","CItr 14434","CITR14434","NSG","","","","Landrace line from Shewa Ethiopia"
"3781","aestivum","PI 192312","PI192312","NSG","","","","Breeding line from Malmohus Sweden"
